topic_id,count,palabras,perfil_macro
257,28,programadas transferencias programadas transferencias transferencias dónde dónde veo dónde transferencia programada pendiente dónde miro programada,Transferencias
258,28,norte pal norte pal terraza tecate pal tecate norte beneficios beneficios beneficios pal promociones,Beneficios y recompensas
259,28,cancelar débito débito cancelar débito cancelar cargo recurrente cancelar cobro nueva cómo cómo cancelar recurrente transferencia deuda,Cancelaciones
260,28,deuda transferir deuda trasferir transfiero cómo transferir transferir dinero débito opción cómo cómo transfiero transferencia deuda,Transferencias
261,28,comisión comisiones retirar dinero dónde retirar cobren cajeros retirar sacar efectivo cobro comisión sacar dinero,Depósitos en efectivo
262,27,vencida extraviada extravío vencida cómo aparece numero expirada próxima vencer apagada repuesto entregar,Entrega de tarjeta
263,27,cancelaron tardará reembolso devolución cuánto tiempo vuelta canceló tiempo regresar aparece pendiente,Cancelaciones
264,27,virtual hacen virtual está usando veo misma clabe duda respecto solo virtual procesada recibir transferencias,Transferencias
265,27,recarga nip cómo poner recarga ago cómo sacar saco cómo ago recargo targeta cep,Autenticación / token
266,27,actualización nueva actualización actualizar actualizo cómo actualizo cómo actualizar actualizó versión datos sé cómo,Problemas de app
267,27,ejecutivo hablar hablar ejecutivo ejecutivo hablar fin área financiamiento empresarial llamar reportar,Atención humana
268,27,cancelar cancelar cancelar baja saldo retenido digas diferi cerrar han dado cancelar cerrar darla baja,Consulta de saldo
269,27,recuerdo nip nip cómo olvide nip recuerdo usuario recuperar olvide cómo recuperar cambiar nip voy intentar,Autenticación / token
270,27,reconozco cobro reconozco cobro hicieron cobro cobro reconocido cobro reconozco cobros hicieron termina acaba llegar,Disputas y aclaraciones
271,27,asesor aclaraciones aclaraciones aclaración asesor asesor aclaraciónes aclaraciónes asesor solicitar aclaración consultar aclaracion aclaración improcedente,Solicitud de productos
272,27,oxxo depositar oxxo depósitos oxxo depósito oxxo depósitos oxxo eleven depositar seguir depositando pueden depósitos depositando,Depósitos en efectivo
273,27,recompensas recompensa vigencia generan beneficiarios amigos referidos programa refiere referido,Beneficiarios
274,27,bancaria carátula nombre institución cuál nombre titular bancario pertenece buró sucursal bancaria,Contrato / carátula
275,27,fan shop shop fan recoger recogerla fanshop tiene costo costo pedirla directo,Tarjeta Pal Norte / Fan Shop
276,27,diario límite diario aumentar límite limite transferencia aumentar límite límite transferencias transferencias límite transferencia cambiar límite,Consulta de límites
277,26,límite transferencia limite transferencia transferencia cómo límite transferencia límite limite aumentar limite límites transferencia trasferir,Transferencias
278,26,alta transferir agregar doy montos reviso aquí cómo nuevas cómo incrementar transferir cómo,Transferencias
279,26,veo número encuentro número número dónde número numero dónde encuentro numero número número está dónde número javi eh,Otros
280,26,apple pay pay apple verificar pay cómo desactivar verifico domiciliados pagar apple deja verificar,Activación
281,26,elimino eliminar eliminar eliminar completamente cargo cómo guardadas cómo elimino cuanto cobran deje borrar,Eliminar / dar de baja
282,26,cómo pagar pagar cómo física solo débito física efectivo cómo eleven cómo pago pagar paga pagar predial,Reposición de plástico
283,26,nombre pusieron hagan transferencia transfieren digo transfieran hagan hicieron transferencia transferirme trasferencia,Transferencias
284,26,cashback pal norte pal norte cash back back cash correo registrarme llego correo,Datos personales / config
285,26,física aparece física camino está camino aparece buzón buzón hace meses llegado reenvío física está,Entrega de tarjeta
286,26,transferencia programada cancelar transferencia programada cómo cancelar cancelo transferencia cómo transferencia cómo cancelo cancelar cancelar está,Cancelaciones
287,25,tasa cuál tasa tasa interés interés auto interés tasa interes auto cuál auto interes maneja,Crédito auto
288,25,cajeros retirar retirar cajeros cajeros retirar retiro cajeros cajero retirar retiro cajero cajero retiro retirar cajero,Retiros / cajeros
289,25,clave rastreo rastreo clave spei cuál clave trasferencia spei cómo spei cuál identificar localizar,Transferencias
290,25,van transferencia recibir transferencias pueden transferencias transferencias realizar transferencias swift pertenece deben internacionales transferir,Transferencias
291,25,cargo domiciliado servicios domiciliado domiciliados dirección registrada domiciliar num refiere registrada dónde encontrar,Datos personales / config
292,25,cuánto retirar retirar cajero cajero máximo retirar límite retiro retiro montos monto máximo cajeros,Retiros / cajeros
293,25,virtual virtual cómo crear adicionales done virtual está deja comprar cómo descargar cómo uso aún deja,Otros
294,25,cat cuál interés bye promocion extravío gustaria clabe clabe diciembre descargar estado tramitar,Estado de cuenta
295,25,pesos mil pesos 50 000 monto maximo depositar 000 pesos 120 000 maximo depositos mexicanos,Depósitos en efectivo
296,25,validar cómo validar pro cómo pro validada referidos bono verificar status méxico,Referidos / bonos
297,25,referido disculpe tarda aproximadamente tiempo tarda revisión validado validar horas mmm,Tiempos de procesamiento
298,25,programar transferencias programadas programadas id branch branch id transferencia transferencias transferencias código transferencias cómo,Transferencias
299,25,pertenece eres eran stp cierto ahora cambió pe persona moral vigentes,Otros
300,24,meses intereses intereses comercios tiene meses meses palnorte club msi cuantos meses pregunto,MSI / pagos diferidos
301,24,solicitar personal candidato soy candidato requisitos auto soy personal soy soy candidata candidata personal solicitar personal,Solicitud de productos
302,24,cuanto debo 600 cat cobra iva debo pagar anualidad cuanto costo adicional anual,Beneficios y recompensas
303,24,número soporte soporte soporte número contactar soporte urgente general asistencia ocupo soporte tecnico está número,Otros
304,24,número digital cuál número cómo encuentro encuentro número veo número número número número cuál número cómo número digital,Otros
305,24,vencer venció va vencer está vencida va está vencer repongo próxima vencer venció cómo vencida,Reposición de plástico
306,24,iphone wallet cómo agregar finalizar verifico agregar pide agregar wallet cómo verifico cartera,Pagos digitales (wallet)
307,24,fiscal constancia constancia retención constancia fiscal retención impuestos documento retenciones situación anual,Pagos a gobierno / SAT
308,24,fraude bloqueada fue rechazada rechazada está bloqueada bloquearon realizar compra compra cargos recurrentes recurrentes,Compras rechazadas
309,24,javi cancelar cancelar app aparece cancelar cobro app cancelo garantizada javier hacerlo aplicación cómo cancelo,Tarjeta garantizada
310,24,whatsapp canal atención oficial contactar contacto atención atención número cuatro viene opción está número,Problemas de app
311,24,comprobante comprobante cep cep verificacion spei trasferencia sacar tranferencia ase spei cuál,Transferencias
312,24,fecha corte corte fecha corte fecha fecha pago cambiar pasó her incluso explicas,Fechas de pago / corte
313,24,clabe clabe cuál clabe clabe cuál clabe consultar consulto tipo echo garantía cómo cuál,Tarjeta garantizada
314,24,horario atención horario atención cuál horario telefónica hora atención tiene via llamar centro pueden atender,Atención humana
315,24,maximo límite cuánto retirar cajero límite recibir cuánto retirar día pueden transferir límite cuánto dia,Transferencias
316,24,ventas reflejado pago dio dio dinero devuelto vi dinero cajero cajero veo reflejado voy intentar,Retiros / cajeros
317,24,cotización cotización auto 000 2020 36 auto cotización 000 auto 300 000 48 enganche 200,Crédito auto
318,23,rebajaron rembolso cómo revisar app retenido parámetros solamente retención buen dia realizar pago,Eliminar / dar de baja
319,23,reportar pago aplicado reportar vio cómo reportar pago reconocido reconocido reportar realizado reflejado,Otros
320,23,dónde retirar dinero retirar dónde está retirar dinero dinero retirar efectivo retirar pendiente dónde digas sacar dinero,Depósitos en efectivo
321,23,promociones promocion promoción familiar descuento descuentos registrar aplicar aplica pagando,Beneficios y recompensas
322,23,cancelar cancelar cancelar eliminar eliminar eliminar cómo eliminar bancos apartado están pagos aplicación,Eliminar / dar de baja
323,23,deja activar deja desbloquear queda proceso solicitar sale opción borre luz activar menciona,Solicitud de productos
324,23,ciudad shop ciudad méxico fan shop fan méxico recoger sucursal mexico alguna sucursal,Tarjeta Pal Norte / Fan Shop
325,23,negocios son requisitos negocio requisitos cuáles son requisitos obtener cuáles cuál sería son trámite,Crédito negocio
326,23,cuál clabe usando suscripción fan alguno ahí clabe cuál clabe caratula antigua clabe tope,Contrato / carátula
327,23,número celular celular mandan dispositivo nuevo aplicacion telefono voy cambiar ingresar app cambiar número,Problemas de app
328,23,recarga poner recarga app aclaraciones parte app recargar asesor aclaraciones poner apartado recargas,Problemas de app
329,22,atención tel num atencion      ,Atención humana
330,22,veces dos veces doble cobraron cobro doble cargo hicieron cobros dos marco resolverlo,Negocios / terminal
331,22,renovar cómo renovar renovación vencida expirada sucursal ok cómo renovarla entregar reemplazo,Entrega de tarjeta
332,22,aumento linea línea aumenta dos años tdc cómo incremento son beneficios aumentar línea llevo,Aumento de línea
333,22,límite transferencias transferencias cómo límite transferencia ampliar transferencias límite aumentar límite transferencia cómo aumentar cómo aumentar,Transferencias
334,22,asesor horario atención horario hablar asesor atención hablar horarios asesor aclaraciónes hablar aclaraciónes reconocido asesor,Disputas y aclaraciones
335,22,diferir meses intereses diferir meses intereses diferir pago solo pago genero meses generar intereses diferir saldo,Consulta de saldo
336,22,independiente siendo ahora será licencia siendo mismo siguen deben poner dinero cajeros cajeros,Retiros / cajeros
337,22,efectivo momento efectivo dinero retenido retiro efectivo capital disposición efectivo disposición aproximado presta retenido,Depósitos en efectivo
338,22,apagar eliminar quitar wallet baja wallet cómo guardadas cómo elimino cómo quitar propia,Eliminar / dar de baja
339,22,cambio correo correo electrónico correo electrónico cambio cambiar correo correo mail email cómo validar,Datos personales / config
340,22,bancaria miro dinero dime origen usar clabe persona moral correo dice clabe bancaria cómo encontrar moral,CLABE / datos bancarios
341,22,reposición reponer extraviada reposición vencimiento reposicion sucursales dentro seguimiento vencimiento ,Tarjeta perdida / robada
342,22,capital abonar abonar capital adelantar hago pago pagos capital abonos plan pagos aplico adelanto,Referidos / bonos
343,22,hice transferencia transferencias hice sé ha visto reflejado abril transferencia hicieron aun refleja visto ha ayer,Transferencias
344,22,token correcto correcto dice app token improcedente app dice procedente app dice token error,Problemas de app
345,22,digital menores tiene fisicas creo dónde encuentro cómo generar encuentro línea cómo electrónica guíame,Cuenta para menores
346,22,dice token correcto aparece token token correcto incorrecto token incorrecto tomen token dice hago aparece,Autenticación / token
347,22,mercado pago compra mercado compra fue cancelada reembolso compra hice envié cancelación canceló,Cancelaciones
348,22,reflejada hice transferencia refleja ha reflejado reflejado vio refleja transferencia reflejado transferencia transferencia aún transferencia,Transferencias
349,22,inactividad penalización comisión comisiones comisión inactividad cuánto debo cuánto cobra protección tpv cobran,Seguros
350,21,asesor aclaraciones opción reconozco aclaraciones reconozco cargo reconozco reconocido aparece asesor aclaraciónes cargo aclaraciónes cargo reconozco,Disputas y aclaraciones
351,21,cancelar transferencia programada primera transferencia programada cancelar transferencia mañana cancelar está esq mismas,Cancelaciones
352,21,reconocido cargo cargo reconocido reconocido cargo intento apoyar pongo puedes  ,Disputas y aclaraciones
353,21,reportar cargo reconocido reportar cargo reconocido reconocido reportar reporto cargo cargo reporte cargo reporte reporto,Disputas y aclaraciones
354,21,recargas aquí retirar aquí cómo dónde sacar recargar saldo atienda do recarga retirar retirar,Consulta de saldo
355,21,dispongo app realizar pagos disponer cómo hago app cómo disponer efectivo débito disposición número está,Problemas de app
356,21,reflejada equivocada refleja transferencia nacional transferencia transferencia recepción transferencia está reflejado refleja dice error,Transferencias
357,21,fecha vencimiento vencimiento expira 26 marzo 2026 03 fecha renuevo vence renovación,Otros
358,20,reportar cargo reconocido cómo cómo reportar reportar cargo reconocido reconocido reportar reconocido cargo disponible opción funciona cómo,Disputas y aclaraciones
359,20,encuentro token token dónde encuentro token encontrar dónde encuentro obtengo token valido consigo token token,Autenticación / token
360,20,activa cómo cuál nip cómo cuál pin está activada cómo nip nip cómo activa está activa activada,Autenticación / token
361,20,cuestionario respuesta aclaración están detalles seguí pasos han validado aclaracion apoyarme realizando,Disputas y aclaraciones
362,20,usa recibir dinero dinero retenido dinero recibir dinero cómo recibir recibir invertido familiar retenido,Otros
363,20,retirar retiro efectivo retiro efectivo cuánto cobran cuánto retirar retirar saldo pagarlo retirar retirar retirar efectivo,Consulta de saldo
364,20,límite mensual mensual transferencias límite transferencias límite transferencia mes límite mensualmente mensuales spei cuál,Transferencias
365,20,tasa interés tasa interés taza 190 cuál tasa interés auto nuevo manejan 72 meses,Crédito auto
366,20,desbloquear desbloqueo cómo desbloquear llega código telefonico ayuden conocer sms nip cómo menú,Tarjeta bloqueada
367,20,oxxo depositar oxxo depositar dígitos 16 seven deposito depositar dinero depósitos oxxo eleven,Depósitos en efectivo
368,20,domiciliado domiciliados pagos domiciliados quitar cancelar pago domiciliar ustedes tienen cobro domiciliado cómo quitar cobros,Eliminar / dar de baja
369,20,cajeros retirar cajeros efectivo cajeros dinero cajeros retirar dinero dinero retirar retirar retirar efectivo sacar dinero cajero cajeros,Depósitos en efectivo
370,20,depósitos incrementar incremento límite depósito cambiar limite ampliar limite depósitos cómo incrementar limite límite depósitos,Depósitos en efectivo
371,20,whatsapp canal pueda comunicar han pasado contactar atender llamo comunicar recuerdo pasado,Problemas de app
